RP/0/RP0/CPU0:r1-a-hesj-1#show processes cpu location 0/RP0/CPU0 
Mon Dec 21 11:26:35.625 CST
---- node0_RP0_CPU0 ----

CPU utilization for one minute: 1%; five minutes: 2%; fifteen minutes: 2%
 
PID    1Min    5Min    15Min Process
6929     0%      0%       0% crypto_monitor
6938     0%      0%       0% eem_ed_config
6954     0%      0%       0% eem_ed_counter
6968     0%      0%       0% eem_ed_generic
6972     0%      0%       0% eem_ed_nd
6985     0%      0%       0% eem_ed_none
6989     0%      0%       0% eem_ed_stats
6991     0%      0%       0% eem_ed_syslog
7001     0%      0%       0% eem_ed_sysmgr
7008     0%      0%       0% eem_ed_test
7012     0%      0%       0% eem_ed_timer
7018     0%      0%       0% object_tracking
7033     0%      0%       0% call_home
7056     0%      0%       0% http_client
7070     0%      0%       0% plat_sl_client
7083     0%      0%       0% smartlicserver
7437     0%      0%       0% bcdls
7880     0%      0%       0% tty_verifyd
7881     0%      0%       0% telemetry_encoder
7882     0%      0%       0% ftp_fs
7883     0%      0%       0% icpe_satmgr
7884     0%      0%       0% domain_services
7885     0%      0%       0% python_process_manager
7886     0%      0%       0% ethernet_stats_controller_edm
7887     0%      0%       0% bfd
7888     0%      0%       0% bundlemgr_distrib
7889     0%      0%       0% pim6
7890     0%      0%       0% pim
7891     0%      0%       0% mld
7892     0%      0%       0% igmp
7893     0%      0%       0% ipv4_mpa
7894     0%      0%       0% ipv6_mpa
7895     0%      0%       0% eth_gl_cfg
7896     0%      0%       0% mrib6
7897     0%      0%       0% mrib
7898     0%      0%       0% ipv6_mfwd_ma
7899     0%      0%       0% nfmgr
7900     0%      0%       0% ipv4_mfwd_ma
7905     0%      0%       0% intf_mgbl
8186     0%      0%       0% bcdl_agent
8188     0%      0%       0% bcdl_agent
8201     0%      0%       0% bcdl_agent
8367     0%      0%       0% redstatsd
8370     0%      0%       0% cmp_edm
8371     0%      0%       0% crypto_edm
8372     0%      0%       0% es_acl_act_agent
8373     0%      0%       0% eth_mgmt
8374     0%      0%       0% icpe_sdep
8375     0%      0%       0% imaedm_server
8376     0%      0%       0% ipodwdm
8377     0%      0%       0% ipv4_acl_act_agent
8378     0%      0%       0% ipv6_acl_cfg_agent
8379     0%      0%       0% linux_nto_misc_showd
8381     0%      0%       0% local_sock
8382     0%      0%       0% mpls_vpn_mib
8383     0%      0%       0% netio_debug_partner
8384     0%      0%       0% pam_manager
8397     0%      0%       0% pfilter_ma
8400     0%      0%       0% pm_ma
8402     0%      0%       0% pm_server
8405     0%      0%       0% spio_ma
8407     0%      0%       0% ssm_process
8561     0%      0%       0% pm_collector
8627     0%      0%       0% ether_caps_partner
8629     0%      0%       0% ether_sock
8682     0%      0%       0% vlan_ea
8769     0%      0%       0% wanphy_proc
8770     0%      0%       0% snmppingd
8771     0%      0%       0% debug_drop_stats_edm
8772     0%      0%       0% schema_server
8773     0%      0%       0% sdr_instmgr
8774     0%      0%       0% cmpp
8775     0%      0%       0% xtc_agent
8776     0%      0%       0% qos_ma
8777     0%      0%       0% pbr_ma
8778     0%      0%       0% es_acl_mgr
9028     0%      0%       0% sdr_mgbl_proxy
9029     0%      0%       0% sdr_mgbl_proxy
9224     0%      0%       0% kworker/2:1H
9832     0%      0%       0% perl
9931     0%      0%       0% kworker/u12:0
10129    0%      0%       0% perl
13106    0%      0%       0% kworker/u12:1
15203    0%      0%       0% telnetd
15216    0%      0%       0% exec
15338    0%      0%       0% sleep
15786    0%      0%       0% exec
16359    0%      0%       0% tacacsd
16360    0%      0%       0% cdp_mgr
16361    0%      0%       0% ipsla_ma
16368    0%      0%       0% mpp_srvr
16432    0%      0%       0% ipsla_sa
16464    0%      0%       0% loopback_caps_partner
17060    0%      0%       0% kworker/4:1H
17510    0%      0%       0% bcdls
20912    0%      0%       0% te_control
21492    0%      0%       0% kworker/3:1H
26307    0%      0%       0% perl
29248    0%      0%       0% kworker/5:1H
32645    0%      0%       0% ssh_conf_verifier
32646    0%      0%       0% ssh_server
32647    0%      0%       0% netconf
RP/0/RP0/CPU0:r1-a-hesj-1#
